,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,example-package-fisheryates,Swift
31,example-package-playingcard,Swift
32,FHIRModels,Swift
33,foundationdb,C++
34,fstools,C
35,game-center-tools,Python
36,GCGC,Jupyter Notebook
37,homebrew-apple,Ruby
38,HomeKitADK,C
39,indexstore-db,C++
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,llvm-monorepo-root,
43,llvm-project,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-afv,Python
48,ml-all-pairs,Python
49,ml-ane-transformers,Python
50,ml-aspanformer,Python
51,ml-autofocusformer,Python
52,ml-autofocusformer-segmentation,Python
53,ml-batchquant,Python
54,ml-behavioral-testing-for-mt,
55,ml-calibration,Jupyter Notebook
56,ml-capsules-inverted-attention-routing,Python
57,ml-cifar-10-faster,Python
58,ml-code-switched-speech-translation,Python
59,ml-codeswitching-translations,
60,ml-collegial-ensembles,Python
61,ml-core,Python
62,ml-covid-mobility,R
63,ml-cread,Python
64,ml-cvnets,Python
65,ml-cvpr2019-swd,Python
66,ml-dab,Python
67,ml-data-parameters,Python
68,ml-destseg,Python
69,ml-dms-dataset,Python
70,ml-dprecs,Jupyter Notebook
71,ml-dr,Python
72,ml-duet,Python
73,ml-entropy-reconstruction,Python
74,ml-envmapnet,Python
75,ml-equivariant-neural-rendering,Jupyter Notebook
76,ml-facelit,Python
77,ml-fastvit,Python
78,ml-fct,Python
79,ml-ferret,Python
80,ml-finerecon,Python
81,ml-flair,Jupyter Notebook
82,ml-gaudi,
83,ml-gmpi,Python
84,ml-gsn,Python
85,ml-heart-rate-models,Python
86,ml-hierarchical-confusion-matrix,TypeScript
87,ml-hypersim,Python
88,ml-interspeech2022-phi_rtn,
89,ml-kge,Python
90,ml-knowledge-conflicts,Python
91,ml-live-pose,
92,ml-mkqa,Python
93,ml-mobileone,Swift
94,ml-multiple-futures-prediction,Python
95,ml-ncg,Python
96,ml-neilf,Python
97,ml-neilfpp,Python
98,ml-neuman,Python
99,ml-no-token-left-behind,Jupyter Notebook
100,ml-nvas3d,Python
101,ml-pointconvformer,Python
102,ml-pointersect,Python
103,ml-probabilistic-attention,Python
104,ml-projunit,Python
105,ml-qrecc,Python
106,ml-quant,Python
107,ml-reed,Python
108,ml-robust-expert-augmentations,Python
109,ml-sad,Python
110,ml-selfcond,Python
111,ml-shuffling-amplification,Python
112,ml-sigma-reparam,Python
113,ml-spatial-librispeech,
114,ml-spin,Python
115,ml-stable-diffusion,Python
116,ml-stuttering-events-dataset,Python
117,ml-symphony,Svelte
118,ml-tract,Python
119,ml-transcript-translation-consistency-ratings,
120,ml-translate-vis,TypeScript
121,ml-tree-dst,Python
122,ml-tune-mode-convbn,Python
123,ml-upscale,Jupyter Notebook
124,ml-uwac,Python
125,ml-vfi-smiff,Python
126,openjdk,Java
127,password-manager-resources,JavaScript
128,sample-backyard-birds,Swift
129,sample-cloudkit-coredatasync,Swift
130,sample-cloudkit-encryption,Swift
131,sample-cloudkit-privatedb,Swift
132,sample-cloudkit-privatedb-sync,Swift
133,sample-cloudkit-queries,Swift
134,sample-cloudkit-sharing,Swift
135,sample-cloudkit-sync-engine,Swift
136,sample-cloudkit-tooling,JavaScript
137,sample-cloudkit-zonesharing,Swift
138,sample-food-truck,Swift
139,servicetalk,Java
140,sourcekit-lsp,Swift
141,swift,C++
142,swift-3-api-guidelines-review,Swift
143,swift-algorithms,Swift
144,swift-argument-parser,Swift
145,swift-asn1,Swift
146,swift-async-algorithms,Swift
147,swift-async-dns-resolver,Swift
148,swift-atomics,Swift
149,swift-book,Markdown
150,swift-cassandra-client,Swift
151,swift-certificates,Swift
152,swift-clang,C++
153,swift-clang-tools-extra,C++
154,swift-cluster-membership,Swift
155,swift-cmake-examples,CMake
156,swift-cmark,C
157,swift-collections,Swift
158,swift-collections-benchmark,Swift
159,swift-community-hosted-continuous-integration,
160,swift-compiler-rt,C
161,swift-corelibs-foundation,Swift
162,swift-corelibs-libdispatch,C
163,swift-corelibs-xctest,Swift
164,swift-crypto,C
165,swift-distributed-actors,Swift
166,swift-distributed-tracing,Swift
167,swift-distributed-tracing-baggage-core,Swift
168,swift-distributed-tracing-extras,Swift
169,swift-docc,Swift
170,swift-docc-plugin,Swift
171,swift-docc-render,JavaScript
172,swift-docc-render-artifact,
173,swift-docc-symbolkit,Swift
174,swift-docker,Dockerfile
175,swift-driver,Swift
176,swift-evolution,Markdown
177,swift-evolution-staging,Swift
178,swift-experimental-string-processing,Swift
179,swift-format,Swift
180,swift-foundation,Swift
181,swift-foundation-icu,C
182,swift-getting-started-cli,Swift
183,swift-getting-started-package-library,Swift
184,swift-http-structured-headers,Swift
185,swift-http-types,Swift
186,swift-installer-scripts,CMake
187,swift-integration-tests,Python
188,swift-internals,HTML
189,swift-issues,
190,swift-libcxx,C++
191,swift-llbuild,C++
192,swift-llbuild2,Swift
193,swift-lldb,C++
194,swift-llvm,LLVM
195,swift-llvm-bindings,Swift
196,swift-lmdb,C
197,swift-log,Swift
198,swift-markdown,Swift
199,swift-metrics,Swift
200,swift-metrics-extras,Swift
201,swift-mmio,Swift
202,swift-nio,Swift
203,swift-nio-examples,Swift
204,swift-nio-extras,Swift
205,swift-nio-http2,Swift
206,swift-nio-imap,Swift
207,swift-nio-nghttp2-support,Swift
208,swift-nio-ssh,Swift
209,swift-nio-ssl,C
210,swift-nio-ssl-support,Swift
211,swift-nio-transport-services,Swift
212,swift-nio-zlib-support,Swift
213,swift-numerics,Swift
214,swift-openapi-generator,Swift
215,swift-openapi-runtime,Swift
216,swift-openapi-urlsession,Swift
217,swift-org-website,SCSS
218,swift-package-collection-generator,Swift
219,swift-package-manager,Swift
220,swift-package-registry-compatibility-test-suite,Swift
221,swift-protobuf,Swift
222,swift-protobuf-plugin,
223,swift-protobuf-test-conformance,
224,swift-sample-distributed-actors-transport,Swift
225,swift-sdk-generator,Swift
226,swift-se0270-range-set,Swift
227,swift-se0288-is-power,Swift
228,swift-service-context,Swift
229,swift-service-discovery,Swift
230,swift-source-compat-suite,Python
231,swift-standard-library-preview,Swift
232,swift-statsd-client,Swift
233,swift-stress-tester,Swift
234,swift-syntax,Swift
235,swift-system,Swift
236,swift-testing,Swift
237,swift-tools-support-async,Swift
238,swift-tools-support-core,Swift
239,swift-xcode-playground-support,Swift
240,swiftpm-on-llbuild2,Swift
241,tensorflow_macos,Shell
242,turicreate,C++
243,unityplugins,C#
244,VideoFlashingReduction,Mathematica
245,vqg-multimodal-assistant,Python
